local_authority,value_of_payments
Aberdeen City,2700
Aberdeenshire,5100
Angus,8100
Argyll & Bute,6900
Clackmannanshire,2700
Dumfries & Galloway,10200
Dundee City,9000
East Ayrshire,11400
East Dunbartonshire,8400
East Lothian,2700
East Renfrewshire,8700
"Edinburgh, City of",11100
Na h-Eileanan Siar,NA
Falkirk,10200
Fife,15000
Glasgow City,37200
Highland,11400
Inverclyde,12900
Midlothian,5400
Moray,2100
North Ayrshire,12300
North Lanarkshire,21900
Orkney Islands,0
Perth & Kinross,7800
Renfrewshire,15000
Scottish Borders,4500
Shetland Islands,NA
South Ayrshire,5100
South Lanarkshire,17700
Stirling,3900
West Dunbartonshire,3300
West Lothian,12600
Unknown - Scottish Address,0
Non-Scottish postcode,0
