FID,objectid,lad17cd,lad17nm,lad17nmw,bng_e,bng_n,long,lat,st_areasha,st_lengths,Shape__Area,Shape__Length
1,1,E06000001,Hartlepool, ,447157,531476,-1.27023005,54.67615891,93652653.0114521,59467.5022911999,279607194.420593,102733.181863065
2,2,E06000002,Middlesbrough, ,451141,516887,-1.21098995,54.5446701,54102543.5603282,38474.5329538984,160528503.223877,66265.3149551798
3,3,E06000003,Redcar and Cleveland, ,464359,519597,-1.00610995,54.56752014,244760108.337648,90579.3046924052,726533545.306152,156041.302016546
4,4,E06000004,Stockton-on-Tees, ,444937,518183,-1.30668998,54.55691147,204365245.73194,102708.184771661,606951190.451721,177008.279869733
5,5,E06000005,Darlington, ,428029,515649,-1.56834996,54.5353508,197790116.454037,97801.4011172222,587074006.179932,168462.047833567
6,6,E06000006,Halton, ,354246,382146,-2.68852997,53.33423996,79157237.7718586,70153.786331635,221830026.908936,117427.416414999
7,7,E06000007,Warrington, ,362744,388456,-2.56167006,53.39162827,180218886.780263,102437.974875413,506339157.410522,171685.143707121
8,8,E06000008,Blackburn with Darwen, ,369490,422806,-2.46359992,53.70080185,137215989.45002,58842.1863122662,390870221.191528,99332.059658786
9,9,E06000009,Blackpool, ,332763,436633,-3.02284002,53.8216095,34833376.6945652,32530.113119272,99808642.6081543,55089.3754396578
10,266,E08000009,Trafford, ,375790,391162,-2.36572003,53.4167099,105982476.23188,53821.5101480059,298035821.130615,90239.6478946755
11,10,E06000010,"Kingston upon Hull, City of", ,511894,431716,-0.30379999,53.76979065,70860653.1993407,58261.1820487251,202481446.883408,98481.4813247358
12,11,E06000011,East Riding of Yorkshire, ,488051,443608,-0.66202998,53.88122177,2406113600.06889,470098.614202544,6911747695.61267,795781.460298101
13,12,E06000012,North East Lincolnshire, ,523454,404574,-0.13926999,53.52336121,191587755.220734,78718.0359858587,541700780.239967,132357.554518769
14,13,E06000013,North Lincolnshire, ,497798,410996,-0.52410001,53.58644867,846809933.731282,226105.734978241,2400156855.46971,380594.691909225
15,20,E06000020,Telford and Wrekin, ,367035,313057,-2.48940992,52.71416855,289735502.153451,103706.864563937,789233945.780884,171213.51404697
16,14,E06000014,York, ,460864,452589,-1.07375002,53.96582031,272388275.494951,94631.8108524925,785718001.26593,160733.359782752
17,15,E06000015,Derby, ,435609,335375,-1.47188997,52.91463852,78716686.7137576,44251.8209187616,216223929.262939,73340.3430266273
18,16,E06000016,Leicester, ,458946,304594,-1.13039994,52.63592148,73219225.4012054,43322.0092037282,198605508.25061,71351.5005373789
19,17,E06000017,Rutland, ,492992,308655,-0.62629998,52.66764832,394335821.243177,102442.90700781,1070604077.25949,168768.975155098
20,18,E06000018,Nottingham, ,456082,339969,-1.16666996,52.9541893,74611550.5348674,53137.5934168707,205389018.713684,88159.5864265693
21,19,E06000019,"Herefordshire, County of", ,349434,242834,-2.73931003,52.08153915,2179872826.70735,307320.414839393,5772428474.3501,500338.814248273
22,28,E06000028,Bournemouth, ,410069,93928,-1.85863996,50.7448616,45975921.389686,42002.8324402132,114744709.91333,66328.1015684824
23,21,E06000021,Stoke-on-Trent, ,389438,346652,-2.15888,53.01707077,92923613.2247817,55229.1066976138,256500061.210083,91773.1253210822
24,22,E06000022,Bath and North East Somerset, ,366217,161999,-2.48654008,51.35604095,350388516.986728,119168.288470593,897843616.946533,190724.434311746
25,23,E06000023,"Bristol, City of", ,359990,174846,-2.57742,51.47114944,109928065.623513,93258.5861100764,283037434.137939,149645.385571235
26,24,E06000024,North Somerset, ,347613,166719,-2.75439,51.39707184,373719566.408483,128457.007596251,958977067.370117,205716.11468135
27,25,E06000025,South Gloucestershire, ,367559,183196,-2.46921992,51.54671097,496705833.943556,124684.157513495,1283134925.55554,200379.370923696
28,26,E06000026,Plymouth, ,249944,58255,-4.1129899,50.40494156,80414876.3026829,72259.8784389966,197644209.625,113253.697227715
29,27,E06000027,Torbay, ,289730,64608,-3.5552299,50.4708786,63690122.5900005,62292.2434042127,156909139.787109,97771.32307123
30,29,E06000029,Poole, ,403393,93466,-1.95326996,50.74077988,65248109.0063611,62381.4005960159,162869259.210205,98535.8579831282
31,30,E06000030,Swindon, ,418551,186564,-1.73367,51.57762909,230230865.957891,89035.8011162374,595535829.415161,143226.860379657
32,31,E06000031,Peterborough, ,517372,300777,-0.26874,52.5921402,344379822.060957,103705.231836906,932636788.556961,170612.192373241
33,32,E06000032,Luton, ,508606,222559,-0.42319,51.89102173,43625821.8849499,32658.7573745856,114423615.097839,52881.5350228044
34,33,E06000033,Southend-on-Sea, ,587776,186833,0.70690602,51.54914093,42061588.6804016,37885.324654964,108594521.189148,60832.2588884448
35,34,E06000034,Thurrock, ,562126,181586,0.33490199,51.5099411,162330171.49017,82206.8201271672,418473999.042007,131970.445785234
36,35,E06000035,Medway, ,578207,175196,0.563173,51.44770813,193203882.112854,152428.517903154,495965454.604248,244152.677137998
37,36,E06000036,Bracknell Forest, ,488169,168792,-0.73363,51.41130066,109196390.710337,59925.5727503014,280398927.109467,96032.0206379871
38,119,E07000086,Eastleigh, ,447202,116802,-1.32942998,50.94871902,79505202.7826918,59589.8729295295,200084776.95752,94527.6066542525
39,37,E06000037,West Berkshire, ,450575,172095,-1.27364004,51.44559097,703013629.146109,150996.658259989,1808696772.65472,242131.766369365
40,38,E06000038,Reading, ,470226,173154,-0.99071002,51.45301819,40472033.5933543,33425.0781993265,104132571.450623,53617.9654968999
41,39,E06000039,Slough, ,498920,179246,-0.57617003,51.50350189,32489520.0448973,39910.6969738602,83788067.1046143,64078.9384711096
